Task,Score
BugClassificationC++.json,8.66
CodeSummarizationJava.json,13.84
FunctionSummarizationPython.json,100.0
NullDereferenceDetectionJava.json,8.5
PromptfromCodeCommentsPython.json,5.89
SummaryDecompositionC++.json,5.95
SQLSchemaDesignSQL.json,34.91
DataClasstoAPIConversionKotlin.json,74.55
BugFixingPython-Off-by-One.json,80.75
ConstructorCompletionPython.json,100.0
CSVParserVariantsPython.json,55.04
FixingFactorialBugPython.json,67.63
GeneratingEmailValidatorsPython+Regex.json,17.83
GeneratingFlaskAPIsPython.json,61.89
PurposeInferenceCompletionPython.json,49.17
RecursiveFunctionCompletionPython.json,91.19
BinarySearchCompletionJava.json,49.42
Self-ConsistencyBugFixingC++.json,79.54
LinkedListNodeDeletionC.json,21.32
PromptChainingBugIdentificationFixJavaScript.json,61.49
